DATE,TINE,TEMP,HUM,LIGHT,CLOUD
11/10/87,1,11,78.0,12.6,100
11/13/87,1,11,88.0,10.8,80
11/14/87,0,11,100.0,9.7,30
11/15/87,0,20,83.0,12.2,50
11/17/87,0,8,100.0,14.2,0
11/18/87,1,12,90.0,10.5,90
11/21/87,0,6,87.0,12.5,30
11/22/87,1,18,82.0,12.9,20
11/23/87,1,19,91.0,12.3,80
11/25/87,1,21,92.0,9.4,100
11/30/87,1,10,90.0,11.7,60
12/5/87,1,18,85.0,11.8,40
12/14/87,1,20,93.0,11.1,95
12/18/87,1,14,92.0,8.3,90
12/24/87,1,19,96.0,12.0,40
12/26/87,1,13,100.0,11.3,100
12/27/87,0,3,96.0,4.8,100
12/28/87,0,4,86.0,6.9,100
12/30/87,0,3,89.0,7.1,40
12/31/87,0,15,93.0,8.1,95
1/2/88,0,15,43.0,6.9,100
1/3/88,0,6,60.0,7.6,100
1/5/88,0,2,92.0,9.0,60
1/7/88,0,2,96.0,7.1,100
1/8/88,0,0,83.0,3.9,100
1/10/88,0,-4,88.0,8.1,20
1/11/88,0,-2,80.0,10.3,10
1/12/88,1,5,80.0,9.0,95
1/14/88,0,5,61.0,5.1,95
1/15/88,0,8,81.0,7.4,100
1/16/88,1,15,100.0,7.9,100
1/20/88,0,5,51.0,3.8,0
1/21/88,0,-1,74.0,6.3,0
1/22/88,0,-2,69.0,6.3,0
1/23/88,0,3,65.0,7.8,30
1/24/88,0,6,73.0,9.5,30
