1,2,3
GI_16445392-S,GI_16445392-S,GI_16445392-S
GI_10190745-S,GI_10047133-A,GI_18152778-S
GI_10442821-S,GI_10442821-S,GI_13375675-S
GI_10518505-A,GI_10834989-A,GI_20070179-S
GI_10835022-S,GI_10835020-S,GI_13375980-S
GI_10835118-S,GI_10835186-S,GI_20070338-A
GI_10835229-S,GI_10863994-S,GI_11037054-S
GI_10862697-S,GI_10947053-A,GI_21269863-S
GI_10863972-S,GI_11037054-S,GI_11993942-S
GI_11037064-S,GI_11038640-A,GI_16445394-S
GI_11184225-S,GI_11345471-S,GI_17975773-A
GI_11641417-S,GI_11497001-S,GI_11345471-S
GI_11863151-S,GI_11967986-S,GI_18641378-S
GI_11968050-S,GI_11968048-S,GI_20070149-S
GI_12056472-S,GI_12056467-A,GI_14165257-S
GI_13124772-S,GI_12383075-S,GI_13787208-S
GI_13236539-S,GI_12621918-S,GI_18378734-S
GI_13375741-S,GI_13124772-S,GI_13470091-S
GI_13376030-A,GI_13259500-A,GI_19923751-S
GI_13376328-S,GI_13375675-S,GI_19311007-A
GI_13376379-S,GI_13375886-S,GI_13376291-S
GI_13376499-S,GI_13376182-S,GI_13129023-S
GI_13376532-S,GI_13376379-S,GI_14249537-S
GI_13430867-S,GI_13376403-S,GI_17921992-I
GI_13435144-S,GI_13376532-S,GI_19743882-I
GI_13514816-A,GI_13376859-S,GI_13375890-A
GI_13569857-S,GI_13376875-S,GI_11496268-S
GI_13699837-S,GI_13489098-S,GI_13787188-A
GI_13787214-I,GI_13786122-S,GI_16306583-S
GI_13899240-S,GI_13787214-I,GI_11497001-S
GI_13899296-S,GI_13899296-S,GI_13376664-S
GI_13937360-S,GI_13899314-S,GI_16554567-A
GI_14141173-S,GI_14149711-S,GI_18860908-S
GI_14141179-S,GI_14149986-S,GI_17402894-A
GI_14149711-S,GI_14150097-S,GI_14141173-S
GI_14149901-S,GI_14165257-S,GI_13435144-S
GI_14149986-S,GI_14195610-S,GI_13376338-S
GI_14150093-S,GI_14211539-S,GI_19743913-A
GI_14150190-S,GI_14211844-S,GI_20070278-S
GI_14165257-S,GI_14249449-S,GI_11968048-S
GI_14211858-S,GI_14249703-S,GI_15451913-S
GI_14249315-S,GI_14277673-S,GI_18765714-S
GI_14277689-S,GI_14589910-A,GI_13514816-A
GI_14589846-S,GI_14591917-S,GI_14591932-S
GI_14670363-I,GI_14734386-S,GI_14150142-S
GI_14702170-I,GI_15022798-S,GI_11497005-A
GI_15011927-A,GI_15451787-S,GI_10947053-A
GI_15451851-A,GI_15451871-S,GI_14141179-S
GI_15967158-A,GI_15451924-S,GI_14670363-I
GI_16306551-S,GI_15743546-S,GI_12056467-A
GI_16418400-S,GI_15812197-S,GI_20302162-S
GI_16445423-S,GI_16418454-S,GI_19882236-S
GI_16506819-S,GI_16506819-S,GI_13430867-S
GI_16554567-A,GI_16554576-S,GI_20127465-S
GI_16554600-S,GI_16950598-S,GI_19923500-S
GI_16753232-S,GI_17738313-S,GI_15451837-A
GI_16905521-A,GI_17921983-S,GI_14150097-S
GI_16950592-I,GI_17978465-S,GI_11037060-A
GI_16950598-S,GI_17981703-S,GI_19913404-S
GI_17402870-A,GI_18104961-S,GI_13376379-S
GI_17402901-S,GI_18105001-I,GI_13899240-S
GI_17572803-S,GI_18105034-S,GI_10835186-S
GI_17941284-S,GI_18152778-S,GI_16418454-S
GI_17975773-A,GI_18373304-S,GI_12025664-S
GI_17986246-A,GI_18373333-S,GI_14150026-S
GI_17986281-S,GI_18375506-S,GI_20127610-S
GI_18104961-S,GI_18375674-I,GI_13443001-S
GI_18105034-S,GI_18379352-S,GI_15718683-S
GI_18105047-S,GI_18543372-S,GI_16579882-S
GI_18105059-I,GI_18548545-S,GI_19263344-S
GI_18141577-A,GI_18641372-S,GI_18379345-S
GI_18152766-S,GI_18641378-S,GI_12597652-S
GI_18373304-S,GI_18702322-S,GI_21264586-A
GI_18373333-S,GI_19263344-S,GI_17402885-I
GI_18378734-S,GI_19311007-A,GI_19743895-A
GI_18543372-S,GI_19525732-S,GI_14149901-S
GI_18641372-S,GI_19743568-I,GI_17981703-S
GI_18641378-S,GI_19743913-A,GI_18765691-S
GI_18765691-S,GI_19743938-S,GI_16554595-A
GI_18765710-S,GI_19882212-S,GI_18378730-S
GI_19311007-A,GI_19923429-S,GI_15208653-S
GI_19743913-A,GI_19923500-S,GI_17738313-S
GI_19882212-S,GI_19923535-S,GI_19923334-S
GI_19923130-S,GI_19923741-S,GI_13236539-S
GI_19923361-S,GI_19923742-S,GI_16332359-A
GI_19923414-S,GI_20070348-S,GI_21264595-A
GI_19923657-S,GI_20127465-S,GI_17402901-S
GI_19923751-S,GI_20127566-S,GI_18104961-S
GI_19923918-S,GI_20127610-S,GI_13929469-S
GI_19923938-S,GI_20143980-S,GI_20270320-S
GI_19923982-S,GI_20149678-S,GI_21264573-S
GI_20127566-S,GI_20149679-S,GI_19923429-S
GI_20127610-S,GI_20270310-S,GI_10835229-S
GI_20143951-A,GI_20336751-I,GI_13699821-S
GI_20143974-S,GI_20357536-I,GI_15451851-A
GI_20149527-S,GI_20977540-S,GI_10835020-S
GI_20336751-I,GI_21071080-S,GI_18105034-S
GI_20357594-S,GI_21237756-S,GI_19923657-S
GI_20546504-S,GI_21264573-S,GI_19923809-S
GI_21269863-S,GI_21264586-A,GI_11386200-S
