,Classes,GI_10047091-S,GI_10047093-S,GI_10047103-S,GI_10047133-A,GI_10092596-S,GI_10092600-S,GI_10092616-S,GI_10092618-S,GI_10092672-S,GI_10190705-S,GI_10190745-S,GI_10257436-S,GI_10337596-S
WGAAD1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD2,2,0,0,0,0,0,0,0,1,0,0,0,1,0
WGAAD3,2,1,1,0,0,0,0,0,0,1,0,0,0,0
WGAAD4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
WGAAD5,2,0,0,0,0,0,1,0,0,0,1,0,0,0
WGAAD6,2,1,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD7,2,0,1,0,0,0,0,0,0,0,1,0,0,0
WGAAD8,2,0,1,0,0,0,0,0,0,1,0,1,0,0
WGAAD9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD11,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD12,2,0,0,0,0,0,0,1,0,0,0,0,1,0
WGAAD13,2,0,0,0,1,1,0,0,0,0,0,0,0,0
WGAAD14,2,0,0,0,1,1,0,0,0,0,0,0,0,0
WGAAD15,2,0,0,0,0,0,0,0,0,0,0,1,0,0
WGAAD16,2,0,0,1,0,0,0,0,0,0,0,0,0,0
WGAAD17,2,0,0,0,0,0,0,0,0,1,0,0,0,0
WGAAD18,2,0,0,0,1,0,1,1,0,0,0,0,0,1
WGAAD19,2,0,0,1,0,1,0,0,0,0,0,0,0,1
WGAAD20,2,0,0,1,0,0,0,0,0,0,0,0,0,0
WGAAD21,2,0,0,0,0,0,0,0,0,1,0,1,0,0
WGAAD22,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD23,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD24,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD25,2,0,0,0,0,0,1,0,0,0,0,0,1,1
WGAAD26,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD27,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD28,2,0,0,0,0,0,1,0,0,0,0,0,0,0
WGAAD29,2,1,0,0,1,0,1,0,0,0,0,0,0,0
WGAAD30,2,0,1,0,1,0,0,0,0,1,0,1,0,0
WGAAD31,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD32,2,0,0,0,0,1,1,1,0,0,0,0,0,1
WGAAD33,2,0,0,0,0,0,0,0,0,0,1,0,0,0
WGAAD34,2,0,0,0,0,0,0,0,1,0,0,0,0,0
WGAAD35,2,0,0,0,0,0,0,0,0,0,0,1,0,0
WGAAD36,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD37,2,0,0,0,0,0,0,0,0,0,0,0,1,0
WGAAD38,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD39,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD40,2,0,0,1,0,0,0,0,0,0,0,0,0,1
WGAAD41,2,0,0,0,0,0,0,1,0,0,0,0,0,0
WGAAD42,2,0,0,0,0,0,0,0,0,0,0,0,0,1
WGAAD43,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD44,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD45,2,1,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD46,2,0,0,0,0,1,0,0,0,0,0,0,0,0
WGAAD47,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD48,2,0,0,0,0,0,0,0,0,0,0,0,1,0
WGAAD49,2,0,0,0,0,0,0,1,0,0,0,0,0,0
WGAAD50,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD51,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD52,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD53,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD54,2,0,0,1,0,0,0,0,0,0,0,1,0,0
WGAAD55,2,0,0,0,0,0,0,0,0,0,0,1,0,0
WGAAD56,2,0,0,1,0,0,1,0,0,0,0,0,0,1
WGAAD57,2,0,0,0,0,0,0,0,1,0,0,0,0,0
WGAAD58,2,1,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD59,2,0,0,0,0,0,0,0,0,1,0,0,0,0
WGAAD60,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD61,2,0,0,0,0,0,0,0,1,0,0,0,0,0
WGAAD62,2,0,0,1,0,0,0,0,0,0,0,0,0,0
WGAAD63,2,0,0,0,1,0,1,1,0,0,0,0,0,0
WGAAD64,2,0,0,1,1,0,0,0,0,0,1,0,0,0
WGAAD65,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD66,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD67,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD68,2,0,1,0,0,0,1,1,0,0,0,0,1,1
WGAAD69,2,0,0,0,0,0,1,0,0,0,0,0,1,0
WGAAD70,2,1,1,0,0,0,0,0,0,1,0,1,0,0
WGAAD71,2,1,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD72,2,0,0,0,0,0,0,0,0,0,0,0,1,0
WGAAD73,2,0,1,1,0,1,0,1,0,0,1,0,0,1
WGAAD74,2,1,0,0,0,0,0,0,0,1,0,0,0,0
WGAAD75,2,0,1,0,0,0,0,0,0,0,1,0,0,0
WGAAD76,2,0,0,0,0,0,0,0,1,0,0,0,1,0
WGAAD77,2,1,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD78,2,0,0,1,0,0,0,0,0,0,0,0,0,0
WGAAD79,2,0,0,0,0,0,0,0,0,0,0,1,0,0
WGAAD80,2,0,0,0,1,0,0,0,0,0,0,0,0,0
WGAAD81,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD82,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD83,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD84,2,0,0,0,0,1,0,0,1,0,0,0,0,0
WGAAD85,2,0,0,1,0,0,0,0,0,0,0,0,0,0
WGAAD86,2,0,0,0,0,0,0,0,0,0,0,0,1,0
WGAAD87,2,0,0,1,0,0,0,1,0,1,1,1,0,0
WGAAD88,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD89,2,0,0,0,0,1,0,0,0,0,0,0,0,0
WGAAD90,2,0,0,0,0,0,0,0,0,0,0,0,1,0
WGAAD91,2,0,0,0,0,0,0,0,0,1,0,0,0,0
WGAAD92,2,0,0,0,0,0,0,0,0,0,0,0,1,0
WGAAD93,2,0,0,0,0,1,0,0,0,0,0,0,1,0
WGAAD94,2,1,0,0,0,0,0,0,0,1,0,0,0,1
WGAAD95,2,0,0,0,0,0,0,1,1,0,0,0,0,0
WGAAD96,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD97,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD98,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD99,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD100,2,0,0,0,0,0,0,0,0,0,1,1,0,0
WGAAD101,2,0,0,0,0,0,0,0,0,0,0,0,0,0
