,antecedants,consequents,support,confidence,lift
0,frozenset(['GI_12232456-S']),frozenset(['GI_14042952-S']),0.102272727273,0.722222222222,7.06172839506
1,frozenset(['GI_14042952-S']),frozenset(['GI_12232456-S']),0.102272727273,0.722222222222,7.06172839506
2,"frozenset(['GI_15812218-S', 'GI_15431289-S'])",frozenset(['GI_14790142-S']),0.0795454545455,1.0,9.77777777778
3,"frozenset(['GI_15812218-S', 'GI_14790142-S'])",frozenset(['GI_15431289-S']),0.0852272727273,0.933333333333,9.12592592593
4,"frozenset(['GI_15431289-S', 'GI_14790142-S'])",frozenset(['GI_15812218-S']),0.0795454545455,1.0,9.77777777778
5,frozenset(['GI_15812218-S']),"frozenset(['GI_15431289-S', 'GI_14790142-S'])",0.102272727273,0.777777777778,9.77777777778
6,frozenset(['GI_15431289-S']),"frozenset(['GI_15812218-S', 'GI_14790142-S'])",0.102272727273,0.777777777778,9.12592592593
7,frozenset(['GI_14790142-S']),"frozenset(['GI_15812218-S', 'GI_15431289-S'])",0.102272727273,0.777777777778,9.77777777778
8,"frozenset(['GI_13376532-S', 'GI_12232430-S', 'GI_13787194-S'])",frozenset(['GI_14042952-S']),0.0795454545455,0.928571428571,9.07936507937
9,"frozenset(['GI_13376532-S', 'GI_12232430-S', 'GI_14042952-S'])",frozenset(['GI_13787194-S']),0.0795454545455,0.928571428571,9.07936507937
10,"frozenset(['GI_13376532-S', 'GI_13787194-S', 'GI_14042952-S'])",frozenset(['GI_12232430-S']),0.0738636363636,1.0,9.77777777778
11,"frozenset(['GI_12232430-S', 'GI_13787194-S', 'GI_14042952-S'])",frozenset(['GI_13376532-S']),0.0738636363636,1.0,9.77777777778
12,"frozenset(['GI_13376532-S', 'GI_12232430-S'])","frozenset(['GI_13787194-S', 'GI_14042952-S'])",0.0852272727273,0.866666666667,11.7333333333
13,"frozenset(['GI_13376532-S', 'GI_13787194-S'])","frozenset(['GI_12232430-S', 'GI_14042952-S'])",0.0852272727273,0.866666666667,10.8952380952
14,"frozenset(['GI_13376532-S', 'GI_14042952-S'])","frozenset(['GI_12232430-S', 'GI_13787194-S'])",0.0795454545455,0.928571428571,10.8952380952
15,"frozenset(['GI_12232430-S', 'GI_13787194-S'])","frozenset(['GI_13376532-S', 'GI_14042952-S'])",0.0852272727273,0.866666666667,10.8952380952
16,"frozenset(['GI_12232430-S', 'GI_14042952-S'])","frozenset(['GI_13376532-S', 'GI_13787194-S'])",0.0795454545455,0.928571428571,10.8952380952
17,"frozenset(['GI_13787194-S', 'GI_14042952-S'])","frozenset(['GI_13376532-S', 'GI_12232430-S'])",0.0738636363636,1.0,11.7333333333
18,frozenset(['GI_13376532-S']),"frozenset(['GI_12232430-S', 'GI_13787194-S', 'GI_14042952-S'])",0.102272727273,0.722222222222,9.77777777778
19,frozenset(['GI_12232430-S']),"frozenset(['GI_13376532-S', 'GI_13787194-S', 'GI_14042952-S'])",0.102272727273,0.722222222222,9.77777777778
20,frozenset(['GI_13787194-S']),"frozenset(['GI_13376532-S', 'GI_12232430-S', 'GI_14042952-S'])",0.102272727273,0.722222222222,9.07936507937
21,frozenset(['GI_14042952-S']),"frozenset(['GI_13376532-S', 'GI_12232430-S', 'GI_13787194-S'])",0.102272727273,0.722222222222,9.07936507937
22,"frozenset(['GI_14211842-S', 'GI_15011917-S', 'GI_14589955-S'])",frozenset(['GI_16753216-A']),0.0795454545455,0.928571428571,9.07936507937
23,"frozenset(['GI_14211842-S', 'GI_15011917-S', 'GI_16753216-A'])",frozenset(['GI_14589955-S']),0.0738636363636,1.0,9.77777777778
24,"frozenset(['GI_14211842-S', 'GI_14589955-S', 'GI_16753216-A'])",frozenset(['GI_15011917-S']),0.0795454545455,0.928571428571,9.07936507937
25,"frozenset(['GI_15011917-S', 'GI_14589955-S', 'GI_16753216-A'])",frozenset(['GI_14211842-S']),0.0795454545455,0.928571428571,9.07936507937
26,"frozenset(['GI_14211842-S', 'GI_15011917-S'])","frozenset(['GI_14589955-S', 'GI_16753216-A'])",0.0852272727273,0.866666666667,10.1688888889
27,"frozenset(['GI_14211842-S', 'GI_14589955-S'])","frozenset(['GI_15011917-S', 'GI_16753216-A'])",0.0909090909091,0.8125,10.2142857143
28,"frozenset(['GI_14211842-S', 'GI_16753216-A'])","frozenset(['GI_15011917-S', 'GI_14589955-S'])",0.0795454545455,0.928571428571,10.8952380952
29,"frozenset(['GI_15011917-S', 'GI_14589955-S'])","frozenset(['GI_14211842-S', 'GI_16753216-A'])",0.0852272727273,0.866666666667,10.8952380952
30,"frozenset(['GI_15011917-S', 'GI_16753216-A'])","frozenset(['GI_14211842-S', 'GI_14589955-S'])",0.0795454545455,0.928571428571,10.2142857143
31,"frozenset(['GI_14589955-S', 'GI_16753216-A'])","frozenset(['GI_14211842-S', 'GI_15011917-S'])",0.0852272727273,0.866666666667,10.1688888889
32,frozenset(['GI_14211842-S']),"frozenset(['GI_15011917-S', 'GI_14589955-S', 'GI_16753216-A'])",0.102272727273,0.722222222222,9.07936507937
33,frozenset(['GI_15011917-S']),"frozenset(['GI_14211842-S', 'GI_14589955-S', 'GI_16753216-A'])",0.102272727273,0.722222222222,9.07936507937
34,frozenset(['GI_14589955-S']),"frozenset(['GI_14211842-S', 'GI_15011917-S', 'GI_16753216-A'])",0.102272727273,0.722222222222,9.77777777778
35,frozenset(['GI_16753216-A']),"frozenset(['GI_14211842-S', 'GI_15011917-S', 'GI_14589955-S'])",0.102272727273,0.722222222222,9.07936507937
36,"frozenset(['GI_13376477-S', 'GI_12232456-S'])",frozenset(['GI_13376553-S']),0.0738636363636,1.0,9.77777777778
37,"frozenset(['GI_13376477-S', 'GI_13376553-S'])",frozenset(['GI_12232456-S']),0.0795454545455,0.928571428571,9.07936507937
38,"frozenset(['GI_12232456-S', 'GI_13376553-S'])",frozenset(['GI_13376477-S']),0.0795454545455,0.928571428571,9.07936507937
39,frozenset(['GI_13376477-S']),"frozenset(['GI_12232456-S', 'GI_13376553-S'])",0.102272727273,0.722222222222,9.07936507937
40,frozenset(['GI_12232456-S']),"frozenset(['GI_13376477-S', 'GI_13376553-S'])",0.102272727273,0.722222222222,9.07936507937
41,frozenset(['GI_13376553-S']),"frozenset(['GI_13376477-S', 'GI_12232456-S'])",0.102272727273,0.722222222222,9.77777777778
42,frozenset(['GI_14591914-S']),frozenset(['GI_14141192-S']),0.102272727273,0.777777777778,7.6049382716
