,0,,,,,,
0,GI_10800413-S,,GI_10800413-S,GI_12232430-S,GI_13194196-S,GI_14211842-S,GI_15451903-S
1,GI_10835001-S,,GI_10835001-S,GI_12232456-S,GI_13375741-S,GI_14249251-S,GI_15718686-S
2,GI_10864008-I,,GI_10864008-I,GI_12408655-S,GI_13376422-S,GI_14249309-S,GI_15718688-A
3,GI_11036639-S,,GI_11036639-S,GI_12597656-S,GI_13376532-S,GI_14249445-S,GI_15812199-A
4,GI_11038661-S,,GI_11038661-S,GI_12957487-S,GI_13376746-S,GI_14249467-I,GI_16306563-S
5,GI_11079227-S,,GI_11079227-S,GI_12965196-S,GI_13540472-S,GI_14589955-S,GI_16596687-S
6,GI_11321582-S,,GI_11321582-S,GI_13027637-S,GI_13540508-S,GI_14591907-S,GI_16753216-A
7,GI_11497005-A,,GI_11497005-A,GI_13027654-A,GI_13787194-S,GI_14591910-S,GI_16905512-S
8,GI_11545919-S,,GI_11545919-S,GI_13128859-S,GI_14141164-S,GI_14591913-S,GI_15011917-S
9,GI_11641422-A,,GI_11641422-A,GI_13129099-S,GI_14141189-S,GI_14591915-S,GI_15431298-S
10,GI_11995467-S,,GI_11995467-S,GI_14141191-S,GI_14916472-S,GI_14165460-I,
11,GI_12232430-S,,,,,,
12,GI_12232456-S,,,,,,
13,GI_12408655-S,,,,,,
14,GI_12597656-S,,,,,,
15,GI_12957487-S,,,,,,
16,GI_12965196-S,,,,,,
17,GI_13027637-S,,,,,,
18,GI_13027654-A,,,,,,
19,GI_13128859-S,,,,,,
20,GI_13129099-S,,,,,,
21,GI_13194196-S,,,,,,
22,GI_13375741-S,,,,,,
23,GI_13376422-S,,,,,,
24,GI_13376532-S,,,,,,
25,GI_13376746-S,,,,,,
26,GI_13540472-S,,,,,,
27,GI_13540508-S,,,,,,
28,GI_13787194-S,,,,,,
29,GI_14141164-S,,,,,,
30,GI_14141189-S,,,,,,
31,GI_14141191-S,,,,,,
32,GI_14165460-I,,,,,,
33,GI_14211842-S,,,,,,
34,GI_14249251-S,,,,,,
35,GI_14249309-S,,,,,,
36,GI_14249445-S,,,,,,
37,GI_14249467-I,,,,,,
38,GI_14589955-S,,,,,,
39,GI_14591907-S,,,,,,
40,GI_14591910-S,,,,,,
41,GI_14591913-S,,,,,,
42,GI_14591915-S,,,,,,
43,GI_14916472-S,,,,,,
44,GI_15011917-S,,,,,,
45,GI_15431298-S,,,,,,
46,GI_15451903-S,,,,,,
47,GI_15718686-S,,,,,,
48,GI_15718688-A,,,,,,
49,GI_15812199-A,,,,,,
50,GI_16306563-S,,,,,,
51,GI_16596687-S,,,,,,
52,GI_16753216-A,,,,,,
53,GI_16905512-S,,,,,,
