,0,,,
0,GI_10800413-S,,GI_10800413-S,GI_14165257-S
1,GI_10864008-I,,GI_10864008-I,GI_14249457-S
2,GI_11321582-S,,GI_11321582-S,GI_14589955-S
3,GI_11545766-S,,GI_11545766-S,GI_14591905-S
4,GI_12025664-S,,GI_12025664-S,GI_14670372-A
5,GI_12965196-S,,GI_12965196-S,GI_15812199-A
6,GI_13112047-A,,GI_13112047-A,GI_15812220-S
7,GI_13128859-S,,GI_13128859-S,GI_13376321-S
8,GI_13376030-A,,GI_13376030-A,GI_14042967-S
9,GI_13376321-S,,,
10,GI_14042967-S,,,
11,GI_14165257-S,,,
12,GI_14249457-S,,,
13,GI_14589955-S,,,
14,GI_14591905-S,,,
15,GI_14670372-A,,,
16,GI_15812199-A,,,
17,GI_15812220-S,,,
