,0,1
0, GI_13430855-S,
1, GI_11968040-S,
2, GI_13375689-S,
3, GI_13775165-S,
4, GI_13787213-I,
5, GI_14043025-S,
6, GI_13435355-S,
7, GI_13236578-S,
8, GI_11497005-A,
9, GI_13259519-S,
10, GI_11141876-S,
11, GI_16445028-S,
12, GI_11993942-S,
13, GI_13899218-S,
14, GI_11545913-S,
15, GI_11037060-A,
16, GI_14110425-S,
17, GI_12056472-S,
18, GI_14141179-S,
19, GI_14769619-S,
20, GI_13899341-S,
21, GI_14150188-S,
22, GI_14149715-S,
23, GI_14589926-S,
24, GI_12232430-S,
25, GI_15431287-S,
26, GI_15011935-S,
27, GI_16306551-S,
28, GI_14150057-S,
29, GI_13775598-S,
30, GI_13259511-A,
31, GI_14149903-I,
32, GI_13375704-S,
33, GI_12597621-S,
34, GI_16554591-A,
35, GI_13443032-A,
36, GI_14149679-S,
37, GI_14249445-S,
38, GI_14110374-A,
39, GI_14141192-S,
40, GI_13376252-S,
41, GI_10835070-S,
42, GI_10835100-S,
43, GI_14574567-I,
44, GI_13375925-S,
45, GI_13375882-S,
46, GI_13128995-S,
47, GI_13430859-S,
48, GI_14150184-S,
49, GI_14670384-S,
50, GI_13376875-S,
51, GI_13518227-S,
52, GI_13699812-I,
53, GI_10864649-S,
54, GI_13376839-S,
55, GI_14165257-S,
56, GI_13899314-S,
57, GI_11034834-I,
58, GI_13430873-S,
59, GI_14043021-S,
60, GI_13899280-S,
61, GI_13443017-S,
62, GI_14249381-S,
63, GI_15431296-A,
64, GI_13376815-S,
65, GI_14249161-S,
66, GI_16507207-S,
67, GI_13540601-S,
68, GI_13386499-A,
69, GI_12597624-S,
70, GI_13540611-S,
71,GI_10047091-S,
72, GI_13376877-S,
73, GI_16445410-A,
74, GI_14251213-S,
75, GI_13514821-A,
76, GI_13384595-S,
77, GI_14150048-S,
78, GI_13129099-S,
79, GI_14589948-S,
80, GI_12232384-S,
81, GI_11386184-S,
82, GI_11055991-S,
83, GI_13376551-S,
84, GI_11140810-S,
85, GI_11037056-S,
86, GI_13376672-S,
87, GI_13128863-S,
88, GI_14149994-S,
89, GI_11386146-S,
90, GI_13375757-S,
91, GI_11545834-S,
