,antecedants,consequents,support,confidence,lift
0,"GI_10864030-S,GI_14916472-S",GI_13376746-S,0.074468085,0.928571429,9.698412698
1,"GI_14916472-S,GI_13376746-S",GI_10864030-S,0.074468085,0.928571429,9.698412698
2,"GI_12597630-S,GI_12232456-S",GI_14042952-S,0.069148936,0.923076923,9.641025641
3,"GI_12597630-S,GI_14042952-S",GI_12232456-S,0.069148936,0.923076923,9.641025641
4,"GI_14249309-S,GI_14600335-S,GI_10864030-S,GI_14249467-I",GI_13376746-S,0.063829787,1,10.44444444
5,"GI_14249309-S,GI_13376746-S,GI_14600335-S,GI_14249467-I",GI_10864030-S,0.063829787,1,10.44444444
6,"GI_14249309-S,GI_13376746-S,GI_10864030-S,GI_14249467-I",GI_14600335-S,0.063829787,1,10.44444444
7,"GI_14249309-S,GI_14600335-S,GI_10864030-S,GI_13376746-S",GI_14249467-I,0.063829787,1,10.44444444
8,"GI_13376746-S,GI_14600335-S,GI_10864030-S,GI_14249467-I",GI_14249309-S,0.069148936,0.923076923,9.641025641
9,"GI_14249309-S,GI_14600335-S,GI_14249467-I","GI_10864030-S,GI_13376746-S",0.063829787,1,12.53333333
10,"GI_14249309-S,GI_10864030-S,GI_14249467-I","GI_14600335-S,GI_13376746-S",0.069148936,0.923076923,13.34911243
11,"GI_14249309-S,GI_13376746-S,GI_14249467-I","GI_14600335-S,GI_10864030-S",0.063829787,1,13.42857143
12,"GI_14249309-S,GI_14600335-S,GI_10864030-S","GI_13376746-S,GI_14249467-I",0.069148936,0.923076923,11.56923077
13,"GI_14249309-S,GI_14600335-S,GI_13376746-S","GI_10864030-S,GI_14249467-I",0.063829787,1,12.53333333
14,"GI_14249309-S,GI_10864030-S,GI_13376746-S","GI_14600335-S,GI_14249467-I",0.063829787,1,14.46153846
15,"GI_14600335-S,GI_10864030-S,GI_14249467-I","GI_14249309-S,GI_13376746-S",0.069148936,0.923076923,13.34911243
16,"GI_13376746-S,GI_14600335-S,GI_14249467-I","GI_14249309-S,GI_10864030-S",0.069148936,0.923076923,12.3956044
17,"GI_14600335-S,GI_10864030-S,GI_13376746-S","GI_14249309-S,GI_14249467-I",0.069148936,0.923076923,13.34911243
18,"GI_14249309-S,GI_14249467-I","GI_14600335-S,GI_10864030-S,GI_13376746-S",0.069148936,0.923076923,13.34911243
19,"GI_14249309-S,GI_13376746-S","GI_14600335-S,GI_10864030-S,GI_14249467-I",0.069148936,0.923076923,13.34911243
20,"GI_14600335-S,GI_14249467-I","GI_14249309-S,GI_10864030-S,GI_13376746-S",0.069148936,0.923076923,14.46153846
21,"GI_14600335-S,GI_13376746-S","GI_14249309-S,GI_10864030-S,GI_14249467-I",0.069148936,0.923076923,13.34911243
22,"GI_10947033-S,GI_13112047-A",GI_14249457-S,0.069148936,0.923076923,9.641025641
23,"GI_10947033-S,GI_14249457-S",GI_13112047-A,0.063829787,1,10.44444444
24,"GI_15812220-S,GI_14249467-I",GI_13376746-S,0.069148936,0.923076923,9.641025641
25,"GI_15812220-S,GI_13376746-S",GI_14249467-I,0.069148936,0.923076923,9.641025641
26,"GI_10800147-S,GI_14249467-I",GI_13376746-S,0.063829787,1,10.44444444
27,"GI_10800147-S,GI_13376746-S",GI_14249467-I,0.063829787,1,10.44444444
28,"GI_10864030-S,GI_14916472-S,GI_14249467-I",GI_12545396-I,0.069148936,0.923076923,9.641025641
29,"GI_12545396-I,GI_14916472-S,GI_14249467-I",GI_10864030-S,0.063829787,1,10.44444444
30,"GI_12545396-I,GI_10864030-S,GI_14249467-I",GI_14916472-S,0.063829787,1,10.44444444
31,"GI_10864030-S,GI_14916472-S,GI_12545396-I",GI_14249467-I,0.063829787,1,10.44444444
32,"GI_12545396-I,GI_14249467-I","GI_10864030-S,GI_14916472-S",0.063829787,1,13.42857143
33,"GI_14916472-S,GI_12545396-I","GI_10864030-S,GI_14249467-I",0.069148936,0.923076923,11.56923077
34,"GI_10864030-S,GI_12545396-I","GI_14916472-S,GI_14249467-I",0.069148936,0.923076923,11.56923077
35,"GI_16554603-S,GI_10800413-S,GI_15812199-A",GI_11321582-S,0.063829787,1,10.44444444
36,"GI_16554603-S,GI_10800413-S,GI_11321582-S",GI_15812199-A,0.069148936,0.923076923,9.641025641
37,"GI_16554603-S,GI_15812199-A,GI_11321582-S",GI_10800413-S,0.063829787,1,10.44444444
38,"GI_10800413-S,GI_15812199-A,GI_11321582-S",GI_16554603-S,0.069148936,0.923076923,9.641025641
39,"GI_16554603-S,GI_15812199-A","GI_10800413-S,GI_11321582-S",0.069148936,0.923076923,12.3956044
40,"GI_10800413-S,GI_15812199-A","GI_16554603-S,GI_11321582-S",0.069148936,0.923076923,12.3956044
41,"GI_15812199-A,GI_11321582-S","GI_16554603-S,GI_10800413-S",0.069148936,0.923076923,12.3956044
42,"GI_12597630-S,GI_12232456-S",GI_13376553-S,0.069148936,0.923076923,9.641025641
43,"GI_13376321-S,GI_13376030-A",GI_13112047-A,0.074468085,0.928571429,9.698412698
44,"GI_13112047-A,GI_13376030-A",GI_13376321-S,0.074468085,0.928571429,9.698412698
45,"GI_10864030-S,GI_14141191-S,GI_14249467-I",GI_13376746-S,0.063829787,1,10.44444444
46,"GI_13376746-S,GI_14141191-S,GI_14249467-I",GI_10864030-S,0.069148936,0.923076923,9.641025641
47,"GI_10864030-S,GI_14141191-S,GI_13376746-S",GI_14249467-I,0.063829787,1,10.44444444
48,"GI_10864030-S,GI_14141191-S","GI_13376746-S,GI_14249467-I",0.063829787,1,12.53333333
49,"GI_14141191-S,GI_13376746-S","GI_10864030-S,GI_14249467-I",0.069148936,0.923076923,11.56923077
50,"GI_15812185-I,GI_12025664-S",GI_13027654-A,0.074468085,0.928571429,9.698412698
51,"GI_15812185-I,GI_13027654-A",GI_12025664-S,0.074468085,0.928571429,9.698412698
52,"GI_12025664-S,GI_13027654-A",GI_15812185-I,0.074468085,0.928571429,9.698412698
53,"GI_16554567-A,GI_15812199-A",GI_14589955-S,0.069148936,0.923076923,9.641025641
54,"GI_16554567-A,GI_14589955-S",GI_15812199-A,0.069148936,0.923076923,9.641025641
55,"GI_14249251-S,GI_14249309-S",GI_11968040-S,0.063829787,1,10.44444444
56,"GI_14249251-S,GI_11968040-S",GI_14249309-S,0.069148936,0.923076923,9.641025641
57,"GI_14249309-S,GI_11968040-S",GI_14249251-S,0.069148936,0.923076923,9.641025641
58,"GI_12232372-S,GI_12232386-S",GI_14165257-S,0.069148936,0.923076923,9.641025641
59,"GI_15147249-S,GI_15890084-A",GI_13194196-S,0.069148936,0.923076923,9.641025641
60,"GI_15147249-S,GI_13194196-S",GI_15890084-A,0.063829787,1,10.44444444
61,"GI_15890084-A,GI_13194196-S",GI_15147249-S,0.069148936,0.923076923,9.641025641
62,"GI_14600335-S,GI_14249467-I",GI_10800147-S,0.069148936,0.923076923,9.641025641
63,"GI_10800147-S,GI_14249467-I",GI_14600335-S,0.063829787,1,10.44444444
