,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.999999761581,1.06307481929e-06,6.21820168056e-14,2.73518963922e-07,1.06653862986e-06,5.04471156285e-28,1.05350000013e-06,0.0,1.01600028302e-06,1.17232561685e-14,4.19398232738e-38,1.05852348042e-06,6.93915331628e-37,5.43337439454e-26,9.45421142312e-37,1.48386029729e-35
1,9.99279450298e-08,0.199275746942,0.0,0.0,0.199276492,0.0,0.199276953936,0.0,0.199276193976,0.0,0.0,0.199275746942,0.0,9.98987843559e-08,0.0,0.0
2,7.41182121295e-27,1.34665318896e-08,0.999999523163,0.0,1.27176509324e-08,0.0,1.38622944235e-08,2.66961653644e-20,1.35496494025e-08,1.17635086098e-25,2.35035760811e-32,1.36146729446e-08,1.05676271289e-07,8.68187292891e-12,4.28713917699e-07,3.02973986823e-26
3,1.75542638203e-07,2.01380416343e-07,9.37765303614e-25,0.999999284744,1.97475955588e-07,4.41699711473e-07,1.9587436384e-07,2.167775949e-28,1.96634431404e-07,9.52787404529e-10,5.32167839259e-27,1.94828658096e-07,3.38178308694e-22,8.13991363089e-21,0.0,6.74666871743e-32
4,9.99283216174e-08,0.199276193976,0.0,0.0,0.199276804924,0.0,0.199277564883,0.0,0.199276492,0.0,0.0,0.199276342988,0.0,9.98976474875e-08,0.0,0.0
5,2.91474797857e-13,1.82689607886e-09,3.18388435217e-19,5.14670603025e-07,1.74531245012e-09,0.999999284744,1.78352799196e-09,2.22089681305e-18,1.80339210232e-09,9.43358031691e-08,1.13997501217e-07,1.77416381586e-09,8.45073918866e-16,3.74275166415e-10,0.0,4.48646275163e-22
6,9.9927184749e-08,0.199274972081,0.0,0.0,0.199275746942,0.0,0.199276342988,0.0,0.199275434017,0.0,0.0,0.199275135994,0.0,9.99010651981e-08,0.0,0.0
7,2.34393474248e-27,3.49155215851e-09,9.97762539257e-10,3.00732981804e-35,3.37725447608e-09,2.41412164318e-24,3.60150664847e-09,0.999999880791,3.56047125116e-09,5.00280043837e-28,1.39704894764e-07,3.48123818661e-09,8.04804969334e-08,5.67054354861e-11,1.5872198472e-20,9.3463119237e-22
8,9.99279450298e-08,0.199275746942,0.0,0.0,0.199276492,0.0,0.199276953936,0.0,0.199276193976,0.0,0.0,0.199275746942,0.0,9.98987843559e-08,0.0,0.0
9,5.92622789898e-16,7.32784712909e-08,0.0,0.0,6.89757015948e-08,0.0,7.80067495043e-08,0.0,7.54738991304e-08,0.999999403954,0.0,6.97360746926e-08,8.11393872219e-35,3.91249670884e-07,1.25268389267e-30,8.04171065738e-07
10,2.35846117416e-15,3.01836866612e-09,1.67405123097e-09,1.04701229168e-22,2.89233570427e-09,2.73838423936e-07,2.96840085845e-09,9.55904582156e-08,3.05473468742e-09,2.79182708442e-28,0.999999761581,3.0615181501e-09,2.08141934244e-10,6.57802368131e-10,8.95006511107e-17,5.11258292256e-18
11,9.99283216174e-08,0.199276193976,0.0,0.0,0.199276804924,0.0,0.199277564883,0.0,0.199276492,0.0,0.0,0.199276342988,0.0,9.98976474875e-08,0.0,0.0
12,2.3378851597e-38,2.65378297115e-08,2.01878847861e-07,0.0,2.47398013187e-08,1.89005808858e-31,2.66682373962e-08,1.00100201905e-07,2.74175455672e-08,1.61034768e-26,1.5185351791e-25,2.62751740365e-08,0.999999880791,3.35077729452e-11,7.01165526084e-24,8.13446494889e-25
13,1.90552999913e-15,1.8874163743e-06,0.0,0.0,1.79521850896e-06,0.0,1.96288124243e-06,0.0,1.89202808087e-06,5.99497582243e-07,0.0,1.81400673682e-06,1.04926325518e-37,0.999999165535,2.3621712876e-37,1.0997636837e-25
14,8.22322580816e-18,2.53874770095e-08,4.11602627537e-07,0.0,2.39163338023e-08,0.0,2.66824304873e-08,1.13836001408e-31,2.64313442244e-08,1.30571909933e-23,0.0,2.59415813275e-08,4.49849736116e-20,6.72025586221e-12,0.999999046326,2.41165196257e-07
15,4.01126555271e-15,3.42682398013e-08,7.46832118454e-29,0.0,3.20942419307e-08,0.0,3.65555905546e-08,0.0,3.64248826656e-08,1.22397381119e-07,0.0,3.3894721696e-08,4.26946680178e-29,5.30535207779e-12,5.60454111564e-07,0.999998927116
0,0.999775111675,5.76593660642e-24,3.99662088448e-36,0.0,0.000192817489733,1.21842225967e-20,0.0,1.87686881824e-14,0.0,0.0,3.70212448064e-22,0.0,1.96428724664e-29,0.000281469692709,0.0,4.11313211942e-22
1,7.27710973581e-37,0.999999880791,1.23849616784e-07,0.0,0.0,0.0,0.0,2.57983458596e-07,2.91015552656e-23,4.67227826301e-34,9.96787647978e-08,1.14742466102e-37,0.0,6.95241043555e-12,0.0,9.96709630385e-08
2,4.41486232035e-32,1.7349121606e-07,0.999999761581,0.0,0.0,0.0,0.0,6.05035845982e-15,1.3115602826e-07,2.07013762272e-23,5.21645908691e-08,1.32780591862e-29,0.0,4.10501883152e-07,0.0,5.44765086374e-08
3,7.06092356868e-20,2.39332641241e-38,0.0,0.999995350838,4.34074190437e-13,4.10285737676e-12,1.34553421661e-30,7.26258164718e-10,0.0,0.0,7.01145006854e-14,1.80320575129e-36,2.89772924589e-06,3.17754637533e-29,1.38382631576e-06,7.48103768061e-14
4,0.000123704419821,4.27763870309e-27,0.0,0.0,0.999655127525,0.000173440756043,0.0,4.38052914255e-14,6.06674289561e-38,0.0,5.58253133689e-23,0.0,8.21294143805e-11,1.76982180919e-19,0.0,6.13593808783e-23
5,1.17698158131e-21,1.39476906868e-31,0.0,2.12413529585e-37,9.69107786659e-05,0.999796450138,0.0,9.58815232072e-12,4.74764134819e-37,0.0,8.31355972131e-18,0.0,1.78105449322e-06,5.99156211196e-37,0.0,8.75955813681e-18
6,2.60627591774e-18,4.5854253017e-33,1.8973392586e-24,3.1211520333e-16,5.35930349578e-13,1.27108165771e-07,0.999999284744,4.43852626188e-22,4.19658894891e-24,6.98296389601e-08,3.93948873523e-09,3.63298758024e-28,4.91129022372e-24,1.99921855403e-23,8.48922283581e-08,4.13944611921e-09
7,0.0,2.19680948987e-08,9.38791381746e-20,0.0,0.0,0.0,0.0,0.999999761581,4.23310912526e-36,0.0,9.70556100766e-12,0.0,0.0,3.39503719617e-19,0.0,9.99407154256e-12
8,5.18819719557e-28,6.33707651863e-28,1.16700654473e-07,0.0,3.1186430938e-37,1.98713426181e-33,6.59893117314e-26,6.35524379229e-32,0.999999523163,1.30670328826e-19,1.03494393468e-23,2.06309039186e-07,0.0,2.82203144374e-29,0.0,1.17782021302e-23
9,1.47132163205e-24,8.56138979625e-30,4.49297780465e-19,1.22475024989e-28,5.2061378544e-21,7.82805081607e-13,3.3066044125e-07,7.10612875289e-28,3.24854637331e-22,0.999999523163,4.45027654593e-14,9.2592919998e-08,2.53518425831e-32,1.75046794634e-30,1.74663511103e-27,4.70080517481e-14
10,1.36136129975e-26,3.4444771721e-27,0.0,0.0,0.0,0.0,0.0,1.00009174275e-07,0.0,0.0,0.501033782959,0.0,0.0,8.61822481966e-05,0.0,0.501032829285
11,1.32014786445e-31,7.95143405309e-31,8.0258208755e-16,0.0,2.56168153755e-27,3.77907091227e-17,4.1957948973e-21,6.44298120951e-30,1.70651063058e-07,3.59998779231e-07,3.53616642251e-21,0.999999523163,0.0,0.0,0.0,3.88383754255e-21
12,1.39581015652e-19,9.88375516026e-32,0.0,1.11082204057e-06,9.0636589789e-08,5.66048129258e-06,0.0,1.09314735042e-09,0.0,0.0,2.56770179744e-17,0.0,0.999994277954,2.88163991238e-33,1.58461162106e-36,2.7183103766e-17
13,9.03639374883e-05,9.93857928812e-24,1.09420863665e-36,0.0,1.12595377523e-28,0.0,0.0,4.56068516286e-12,0.0,0.0,1.26365443717e-13,0.0,0.0,0.999559938908,0.0,1.35565671644e-13
14,1.52106766099e-19,0.0,1.80237648824e-33,1.7496199689e-06,3.56560836629e-13,6.00834104691e-10,2.99878848864e-07,2.0689569849e-12,1.11529744583e-34,3.71231045703e-35,5.96426207033e-12,1.93715679074e-36,2.39725665688e-22,4.74915103505e-27,0.999998688698,6.42512258675e-12
15,1.36140289983e-26,3.4444771721e-27,0.0,0.0,0.0,0.0,0.0,1.00008790582e-07,0.0,0.0,0.501029014587,0.0,0.0,8.61832304508e-05,0.0,0.501028060913
0,0.999999880791,1.07899305105e-20,2.1975897122e-15,9.47337497337e-08,1.24965002416e-20,1.04680651702e-07,6.06400482234e-18,2.36990358978e-13,1.28485246621e-24,3.53050004409e-24,3.58947765195e-24,3.58101199115e-24,4.32435896492e-30,9.32943826359e-12,1.9910011162e-21,3.51696397982e-24
1,0.0,0.500750660896,1.40831728501e-08,0.0,0.500750541687,0.0,9.99824720793e-08,2.83908898584e-31,0.0,9.99946720981e-08,9.99944802516e-08,9.99937199708e-08,1.63847513335e-09,4.21064012358e-22,0.0,1.00000008274e-07
2,1.76045558166e-34,3.07973761169e-21,0.999999880791,5.58411494758e-28,2.95191882e-21,5.05131290818e-22,1.47157155996e-35,9.64455324493e-08,2.66009135782e-20,3.01926465692e-18,2.99535706927e-18,2.8836521178e-18,5.3645751689e-30,1.201754668e-11,9.96095792516e-08,2.73054119322e-18
3,1.19678873034e-07,1.53419013824e-20,4.64965251382e-23,0.999999880791,1.7867117387e-20,1.92815684464e-19,1.43933808057e-19,4.09177052341e-22,0.0,6.22356374744e-22,6.12513662566e-22,6.29449963465e-22,9.76937641894e-08,7.6665358506e-08,4.20985415425e-29,6.25137910918e-22
4,0.0,0.500750660896,1.40831186712e-08,0.0,0.500750541687,0.0,9.99824720793e-08,2.83906735674e-31,0.0,9.99946720981e-08,9.99944802516e-08,9.99935281243e-08,1.63847202472e-09,4.21064012358e-22,0.0,1.00000008274e-07
5,9.97771110178e-08,8.55429117597e-26,2.16468594194e-20,1.14206662288e-22,9.89181963192e-26,0.999999880791,2.05634044549e-23,9.99357609999e-08,2.16801089512e-25,9.25108769947e-26,9.60677398828e-26,9.7126027602e-26,7.44756210976e-34,9.75393014913e-18,1.32353434577e-19,9.11976146398e-26
6,0.0,7.48896979985e-08,8.36099649259e-14,1.57800717809e-35,9.29182633058e-08,9.55632711386e-35,1.0,0.0,0.0,1.68285636636e-15,1.68964268846e-15,1.68997144312e-15,5.69532763894e-24,1.13326855455e-07,2.09857157612e-37,1.73544832442e-15
7,8.15634706449e-16,3.74951116589e-21,1.01284015841e-07,3.4557404755e-21,3.49055880162e-21,9.17685056834e-08,4.48616123225e-34,1.0,6.17449897203e-21,7.23206749591e-19,7.48907096127e-19,7.46027266824e-19,3.40115280022e-28,1.01962234686e-22,2.20353534139e-13,6.81401455023e-19
8,0.0,2.17916470743e-16,1.29685596156e-19,6.12261378642e-37,2.16773121848e-16,5.25781484841e-19,2.08039146616e-36,3.02241908434e-20,0.999999284744,4.24964042622e-07,4.22683598345e-07,4.1913278892e-07,7.43481450627e-07,1.97802454363e-22,9.68255946532e-08,4.09856056649e-07
9,0.0,1.34732557142e-13,4.52860696362e-37,0.0,1.30262621978e-13,4.05697924489e-33,1.13059346084e-28,1.92292996525e-31,2.07995355858e-30,0.25065895915,0.250659227371,0.250659406185,1.00077286902e-07,1.93606983155e-37,2.20550852064e-23,0.250658780336
10,0.0,1.34732557142e-13,4.52860696362e-37,0.0,1.30262621978e-13,4.05697924489e-33,1.13059346084e-28,1.92292996525e-31,2.07995355858e-30,0.25065895915,0.250659227371,0.250659406185,1.00077286902e-07,1.93606983155e-37,2.20550852064e-23,0.250658780336
11,0.0,1.34732557142e-13,4.52860696362e-37,0.0,1.30262621978e-13,4.05697924489e-33,1.13059346084e-28,1.92292996525e-31,2.07995355858e-30,0.25065895915,0.250659227371,0.250659406185,1.00077286902e-07,1.93606983155e-37,2.20550852064e-23,0.250658780336
12,0.0,3.35779398052e-16,3.8867623616e-26,2.70521546071e-31,3.34705148517e-16,1.59200792366e-23,7.23887132752e-38,1.00653650128e-23,1.91830253016e-07,5.15337887919e-06,5.06512469656e-06,5.12815040565e-06,0.999999642372,4.38872162329e-23,1.32186579391e-13,5.01884005644e-06
13,6.0220823857e-30,4.71635780086e-15,8.65416467377e-08,1.07564446239e-07,5.82539116771e-15,1.67305744918e-29,7.4118922555e-08,2.08738007567e-35,0.0,7.01455944911e-20,6.79682483237e-20,6.86813490976e-20,7.27542381895e-09,0.999999880791,3.9464341424e-26,6.96653192103e-20
14,5.57901190173e-33,2.73764238368e-19,9.98740219416e-08,1.1871032915e-23,2.65417339752e-19,1.33396423654e-14,3.49620290574e-32,1.52329334585e-13,1.10547297538e-07,3.81822715667e-08,3.80917093423e-08,3.69801469446e-08,4.03222915617e-19,4.33246050147e-10,1.0,3.59498812941e-08
15,0.0,1.34732557142e-13,4.52860696362e-37,0.0,1.30262621978e-13,4.05697924489e-33,1.13059346084e-28,1.92292996525e-31,2.07995355858e-30,0.25065895915,0.250659227371,0.250659406185,1.00077286902e-07,1.93606983155e-37,2.20550852064e-23,0.250658780336
0,0.999999880791,1.66311475414e-33,1.95855883595e-11,0.0,1.92982053948e-11,7.07371640141e-31,8.01744157175e-11,0.0,7.37397900065e-26,8.77528734122e-08,1.01250377258e-19,1.9587091416e-14,1.35180842215e-11,1.35499521689e-24,1.93639080465e-11,9.71269074057e-08
1,1.00062156911e-12,0.999999165535,5.6209035229e-14,1.3727927703e-18,5.782927712e-14,8.4914204574e-13,1.86111982559e-21,1.32671428227e-26,0.0,6.0014926121e-21,2.79910750578e-07,1.27309306208e-07,5.11601787104e-25,4.73516391261e-21,5.53562797272e-14,4.40068669079e-25
2,1.36507010871e-17,0.0,0.332439929247,1.0324381791e-19,0.332440346479,0.0,0.0,0.0,0.0,7.40988497228e-08,0.0,0.0,1.45938018614e-11,1.52771935183e-35,0.332440346479,0.0
3,3.1669154936e-33,3.94822602762e-26,1.19851958219e-12,1.0,1.1218085922e-12,9.80639711656e-08,4.02195208463e-34,9.86948265336e-08,8.16894952508e-18,0.0,2.9754742116e-17,4.87208775011e-38,1.7685147229e-24,0.0,1.06079099498e-12,0.0
