,0,1,2,,,,
0,0.312232733,2.62E-07,0.838560343,,0.31223,0,0.83856
1,0.999999046,0.55320245,5.66E-08,,1,0.5532,0
2,9.75E-08,2.31E-07,0.510882139,,0,0,0.51088
3,5.03E-07,0.821543217,0.946397185,,0,0.82154,0.9464
4,0.999999881,0.659484029,0.689773321,,1,0.65948,0.68977
5,0.674185991,0.319361717,0.999999762,,0.67419,0.31936,1
6,0.51156199,2.32E-07,4.33E-08,,0.51156,0,0
7,1.37E-07,0.588231504,4.98E-08,,0,0.58823,0
8,0.505726099,0.999999881,0.999999046,,0.50573,1,1
9,0.999993801,0.140165254,0.152669877,,0.99999,0.14017,0.15267
10,0.810477078,0.999999762,0.270210117,,0.81048,1,0.27021
11,1.68E-07,0.991500735,0.37566185,,0,0.9915,0.37566
12,4.40E-07,0.351857066,0.999999523,,0,0.35186,1
13,0.890445948,2.40E-07,0.566997588,,0.89045,0,0.567
14,0.342512369,0.926691711,9.74E-07,,0.34251,0.92669,0
15,0.045016259,0.131969258,0.0803608,,0.04502,0.13197,0.08036
0,9.82E-07,0.971275806,0.415780276,,,,
1,0.000451518,0.189530179,0.92294395,,,,
2,0.999999762,0.159094632,0.868339539,,,,
3,4.49E-07,0.720903873,4.57E-07,,,,
4,0.370553643,0.999999642,0.93949908,,,,
5,1.80E-07,7.91E-08,0.405778795,,,,
6,0.999994278,0.268657297,1.15E-07,,,,
7,0.999999642,0.716977835,7.60E-06,,,,
8,0.999996781,0.698910534,0.999999881,,,,
9,0.96739006,9.52E-08,0.349695057,,,,
10,0.406056374,0.999999523,1.81E-07,,,,
11,0.442889631,6.74E-08,1.07E-06,,,,
12,6.78E-05,0.265605778,2.53E-07,,,,
13,0.436985642,1.70E-06,0.999150276,,,,
14,0.999999762,0.999999881,0.453130335,,,,
15,2.91E-07,0.639459372,0.999987602,,,,
0,0.452043444,6.19E-07,0.998674393,,,,
1,3.71E-08,0.760576904,0.896000147,,,,
2,1.27E-07,0.999766052,0.394111782,,,,
3,0.939930797,4.15E-07,0.720892906,,,,
4,0.999999166,0.999997139,0.504933953,,,,
5,0.570978463,0.0004694,6.06E-08,,,,
6,0.241982788,0.964732409,6.46E-07,,,,
7,0.999999404,0.073353536,0.252263367,,,,
8,8.36E-08,0.496941149,2.35E-08,,,,
9,0.121895492,0.016978385,0.134199679,,,,
10,0.999999404,0.415482372,0.999999881,,,,
11,5.05E-08,2.28E-07,0.597566545,,,,
12,0.062696993,0.274356782,0.999999523,,,,
13,0.709320068,0.999999762,2.20E-05,,,,
14,0.454878986,1,0.999995589,,,,
15,0.999997973,0.520935893,2.51E-08,,,,
0,1.62E-07,0.640407383,0.971689165,,,,
1,0.387869567,1,0.999999404,,,,
2,0.999999762,0.379097253,0.999999642,,,,
3,6.18E-07,0.999998927,0.578024089,,,,
4,0.520435393,4.40E-07,3.61E-08,,,,
5,0.623711526,8.91E-07,0.985667825,,,,
6,0.999999642,1.23E-06,0.608887851,,,,
7,0.999999762,1,0.380008996,,,,
8,0.148247093,0.161651552,0.999999881,,,,
9,0.999999642,0.606258631,2.91E-07,,,,
10,2.32E-07,1.01E-06,0.572885454,,,,
11,0.166232765,0.999999881,0.123670198,,,,
12,1.41E-07,0.530132115,6.99E-08,,,,
13,0.626004755,0.999996543,1.29E-07,,,,
14,0.999991655,0.139510602,0.149952292,,,,
15,0.07622271,0.08086922,0.119770378,,,,
0,2.18E-07,0.999999285,0.566536248,,,,
1,0.999999166,0.999781072,0.284238011,,,,
2,0.138977543,2.61E-07,0.8384794,,,,
3,0.350392193,0.999999166,0.999999881,,,,
4,3.50E-07,0.468657941,0.941781819,,,,
5,0.285561144,7.32E-07,3.36E-07,,,,
6,0.999999881,0.409443021,3.79E-07,,,,
7,0.999999523,0.999999881,0.890950322,,,,
8,0.565862775,4.81E-07,0.999999046,,,,
9,2.69E-07,0.399306864,1.16E-07,,,,
10,1.10E-07,2.93E-06,0.366212547,,,,
11,0.999999881,0.350206405,0.999999642,,,,
12,0.05906425,0.917092681,0.125999644,,,,
13,0.73746556,2.30E-07,3.29E-07,,,,
14,0.994572341,2.98E-07,0.419706136,,,,
15,0.494882464,0.999999642,1.04E-07,,,,
