,0,1,2,3,4,,,,,,,,,,,,
0,0.157768562,0.157768562,0.157768562,0.157768562,0.999759138,,0.800734758,0.005227351,0.005227351,8.23E-06,8.84E-05,,0.642966196,-0.152541211,-0.152541211,-0.157760335,-0.999670761
1,0.027795179,0.027795179,0.027795179,0.027795179,0.808897913,,0.99998486,0.999954104,0.999954104,0.262337744,0.00338515,,0.972189682,0.972158926,0.972158926,0.234542565,-0.805512762
2,2.74E-06,2.74E-06,2.74E-06,2.74E-06,0.579971492,,0.129425436,0.680717468,0.680717468,0.000759435,0.994297326,,0.129422698,0.68071473,0.68071473,0.000756696,0.414325833
3,0.246698484,0.246698484,0.246698484,0.246698484,3.88E-06,,0.635235429,0.001167146,0.001167146,5.97E-06,0.9979074,,0.388536945,-0.245531337,-0.245531337,-0.24669251,0.997903515
4,0.150583342,0.150583342,0.150583342,0.150583342,0.999103725,,0.781895936,0.998663425,0.998663425,0.030651677,0.978403986,,0.631312594,0.848080084,0.848080084,-0.119931664,-0.020699739
5,0.660666049,0.660666049,0.660666049,0.660666049,3.26E-06,,0.426594377,0.994067192,0.994067192,0.966061234,0.129428759,,-0.234071672,0.333401144,0.333401144,0.305395186,0.129425499
6,0.072357275,0.072357275,0.072357275,0.072357275,0.148247749,,0.057315923,0.873077035,0.873077035,0.031779911,0.034250453,,-0.015041351,0.80071976,0.80071976,-0.040577363,-0.113997295
7,0.246704087,0.246704087,0.246704087,0.246704087,3.89E-06,,0.999958634,0.866563737,0.866563737,0.999941587,0.999595702,,0.753254548,0.619859651,0.619859651,0.753237501,0.999591814
8,0.835824072,0.835824072,0.835824072,0.835824072,0.071590692,,0.083370015,0.001826096,0.001826096,0.969866037,0.992971241,,-0.752454057,-0.833997976,-0.833997976,0.134041965,0.92138055
9,0.999927282,0.999927282,0.999927282,0.999927282,0.309583127,,0.003272522,0.28792733,0.28792733,0.977490544,1.97E-06,,-0.99665476,-0.711999953,-0.711999953,-0.022436738,-0.309581156
10,0.008536506,0.008536506,0.008536506,0.008536506,0.352908432,,0.999966145,0.000121637,0.000121637,0.808559477,0.999807656,,0.991429639,-0.008414868,-0.008414868,0.800022972,0.646899223
11,0.999405146,0.999405146,0.999405146,0.999405146,0.478480667,,0.002081978,0.275882453,0.275882453,0.002882524,0.000253378,,-0.997323168,-0.723522693,-0.723522693,-0.996522622,-0.478227289
12,0.558954,0.558954,0.558954,0.558954,0.999983549,,0.09161374,0.000809752,0.000809752,0.00015663,0.512294769,,-0.467340261,-0.558144248,-0.558144248,-0.55879737,-0.48768878
13,0.940055311,0.940055311,0.940055311,0.940055311,0.757236242,,0.999992132,0.246065065,0.246065065,0.996637583,8.20E-06,,0.059936821,-0.693990245,-0.693990245,0.056582272,-0.75722804
14,0.610424995,0.610424995,0.610424995,0.610424995,0.999996901,,0.000152849,0.622187555,0.622187555,0.95477879,0.968941927,,-0.610272146,0.011762559,0.011762559,0.344353795,-0.031054974
15,0.920637429,0.920637429,0.920637429,0.920637429,0.788285553,,0.000975339,0.213571429,0.213571429,0.010972853,0.999990702,,-0.91966209,-0.707066,-0.707066,-0.909664576,0.211705148
